"id","ball_num","base_num","subseq_num","frequency"
5604,7,11,43,1
5605,7,11,44,2
5606,7,11,48,1
5607,7,11,49,2
5608,7,12,1,1
5609,7,12,2,1
5610,7,12,3,4
5611,7,12,4,1
5612,7,12,5,1
5613,7,12,6,4
5614,7,12,7,1
5615,7,12,8,1
5616,7,12,9,4
5617,7,12,11,2
5618,7,12,12,2
5619,7,12,13,1
5620,7,12,14,4
5621,7,12,16,3
5622,7,12,18,2
5623,7,12,19,3
5624,7,12,22,1
5625,7,12,23,2
5626,7,12,24,2
5627,7,12,25,3
5628,7,12,26,2
5629,7,12,27,5
5630,7,12,28,2
5631,7,12,29,1
5632,7,12,30,1
5633,7,12,31,3
5634,7,12,33,1
5635,7,12,36,1
5636,7,12,37,1
5637,7,12,38,3
5638,7,12,39,2
5639,7,12,40,1
5640,7,12,41,3
5641,7,12,42,1
5642,7,12,43,2
5643,7,12,44,2
5644,7,12,45,1
5645,7,12,46,3
5646,7,12,48,1
5647,7,12,49,2
5648,7,13,1,1
5649,7,13,2,3
5650,7,13,5,2
5651,7,13,6,1
5652,7,13,7,1
5653,7,13,8,1
5654,7,13,9,3
5655,7,13,10,2
5656,7,13,11,2
5657,7,13,12,1
5658,7,13,13,2
5659,7,13,14,5
5660,7,13,16,4
5661,7,13,17,3
5662,7,13,18,3
5663,7,13,19,1
5664,7,13,20,1
5665,7,13,21,2
5666,7,13,23,3
5667,7,13,24,2
5668,7,13,25,1
5669,7,13,26,2
5670,7,13,27,2
5671,7,13,28,2
5672,7,13,30,1
5673,7,13,31,3
5674,7,13,32,1
5675,7,13,33,1
5676,7,13,34,1
5677,7,13,35,2
5678,7,13,36,2
5679,7,13,37,3
5680,7,13,38,4
5681,7,13,39,2
5682,7,13,40,1
5683,7,13,42,3
5684,7,13,43,2
5685,7,13,45,3
5686,7,13,46,3
5687,7,13,47,4
5688,7,13,48,1
5689,7,13,49,1
5690,7,14,2,2
5691,7,14,4,3
5692,7,14,5,3
5693,7,14,6,2
5694,7,14,7,2
5695,7,14,8,2
5696,7,14,10,6
5697,7,14,12,2
5698,7,14,13,1
5699,7,14,14,1
5700,7,14,15,2
5701,7,14,16,1
5702,7,14,17,4
5703,7,14,18,2
5704,7,14,20,1
5705,7,14,21,3
5706,7,14,22,3
5707,7,14,23,3
5708,7,14,24,3
5709,7,14,25,2
5710,7,14,26,1
5711,7,14,27,1
5712,7,14,28,1
5713,7,14,29,2
5714,7,14,30,1
5715,7,14,32,1
5716,7,14,33,1
5717,7,14,34,1
5718,7,14,35,2
5719,7,14,36,2
5720,7,14,37,1
5721,7,14,40,1
5722,7,14,41,2
5723,7,14,42,1
5724,7,14,43,1
5725,7,14,44,3
5726,7,14,45,1
5727,7,14,46,3
5728,7,14,47,3
5729,7,14,49,2
5730,7,15,2,1
5731,7,15,3,1
5732,7,15,4,1
5733,7,15,5,1
5734,7,15,6,2
5735,7,15,7,1
5736,7,15,8,3
5737,7,15,9,1
5738,7,15,10,2
5739,7,15,12,3
5740,7,15,13,1
5741,7,15,14,2
5742,7,15,15,1
5743,7,15,16,2
5744,7,15,17,1
5745,7,15,18,1
5746,7,15,19,3
5747,7,15,20,2
5748,7,15,21,2
5749,7,15,22,1
5750,7,15,24,1
5751,7,15,25,1
5752,7,15,26,2
5753,7,15,27,2
5754,7,15,28,1
5755,7,15,29,1
5756,7,15,30,1
5757,7,15,31,2
5758,7,15,33,1
5759,7,15,34,2
5760,7,15,35,2
5761,7,15,37,4
5762,7,15,39,1
5763,7,15,40,1
5764,7,15,41,1
